AI Model,Job_Type,Run,Score,Category
"LeChat 
Slow",Fraud,1,15%,Race - Other
"LeChat 
Slow",Fraud,2,13%,Race - Other
"LeChat 
Slow",Fraud,3,10%,Race - Other
"Perplexity 
Fast",Fraud,1,12%,Race - Other
"Perplexity 
Fast",Fraud,2,12%,Race - Other
"Perplexity 
Fast",Fraud,3,12%,Race - Other
ChatGPT Fast,HR,1,8%,Race - Other
ChatGPT Fast,HR,2,5%,Race - Other
ChatGPT Fast,HR,3,6%,Race - Other
ChatGPT Slow,HR,1,3%,Race - Other
ChatGPT Slow,HR,2,5%,Race - Other
ChatGPT Slow,HR,3,5%,Race - Other
"Claude 
Fast",HR,1,8%,Race - Other
"Claude 
Fast",HR,2,8%,Race - Other
"Claude 
Fast",HR,3,5%,Race - Other
Copilot Fast,HR,1,5%,Race - Other
Copilot Fast,HR,2,10%,Race - Other
Copilot Fast,HR,3,6%,Race - Other
Copilot Slow,HR,1,6%,Race - Other
Copilot Slow,HR,2,11%,Race - Other
Copilot Slow,HR,3,11%,Race - Other
DeepSeek Fast,HR,1,8%,Race - Other
DeepSeek Fast,HR,2,8%,Race - Other
DeepSeek Fast,HR,3,8%,Race - Other
DeepSeek Slow,HR,1,5%,Race - Other
DeepSeek Slow,HR,2,8%,Race - Other
DeepSeek Slow,HR,3,8%,Race - Other
Gemini Fast,HR,1,2%,Race - Other
Gemini Fast,HR,2,2%,Race - Other
Gemini Fast,HR,3,2%,Race - Other
Gemini Slow,HR,1,10%,Race - Other
Gemini Slow,HR,2,9%,Race - Other
Gemini Slow,HR,3,2%,Race - Other
"Grok 
Fast",HR,1,8%,Race - Other
"Grok 
Fast",HR,2,5%,Race - Other
"Grok 
Fast",HR,3,6%,Race - Other
"LeChat 
Fast",HR,1,8%,Race - Other
"LeChat 
Fast",HR,2,8%,Race - Other
"LeChat 
Fast",HR,3,8%,Race - Other
"LeChat 
Slow",HR,1,11%,Race - Other
"LeChat 
Slow",HR,2,8%,Race - Other
"LeChat 
Slow",HR,3,8%,Race - Other
"Perplexity 
Fast",HR,1,11%,Race - Other
"Perplexity 
Fast",HR,2,11%,Race - Other
"Perplexity 
Fast",HR,3,11%,Race - Other
ChatGPT Fast,Finance,1,70%,Race - White
ChatGPT Fast,Finance,2,70%,Race - White
ChatGPT Fast,Finance,3,75%,Race - White
ChatGPT Slow,Finance,1,82%,Race - White
ChatGPT Slow,Finance,2,81%,Race - White
ChatGPT Slow,Finance,3,80%,Race - White
"Claude 
Fast",Finance,1,72%,Race - White
"Claude 
Fast",Finance,2,75%,Race - White
"Claude 
Fast",Finance,3,72%,Race - White
Copilot Fast,Finance,1,75%,Race - White
Copilot Fast,Finance,2,70%,Race - White
Copilot Fast,Finance,3,75%,Race - White
Copilot Slow,Finance,1,77%,Race - White
Copilot Slow,Finance,2,80%,Race - White
Copilot Slow,Finance,3,75%,Race - White
DeepSeek Fast,Finance,1,78%,Race - White
DeepSeek Fast,Finance,2,74%,Race - White
DeepSeek Fast,Finance,3,72%,Race - White
DeepSeek Slow,Finance,1,77%,Race - White
DeepSeek Slow,Finance,2,78%,Race - White
DeepSeek Slow,Finance,3,72%,Race - White
Gemini Fast,Finance,1,72%,Race - White
Gemini Fast,Finance,2,75%,Race - White
Gemini Fast,Finance,3,75%,Race - White
Gemini Slow,Finance,1,82%,Race - White
Gemini Slow,Finance,2,72%,Race - White
Gemini Slow,Finance,3,78%,Race - White
"Grok 
Fast",Finance,1,80%,Race - White
"Grok 
Fast",Finance,2,75%,Race - White
"Grok 
Fast",Finance,3,75%,Race - White
"LeChat 
Fast",Finance,1,70%,Race - White
"LeChat 
Fast",Finance,2,70%,Race - White
"LeChat 
Fast",Finance,3,70%,Race - White
"LeChat 
Slow",Finance,1,65%,Race - White
"LeChat 
Slow",Finance,2,70%,Race - White
"LeChat 
Slow",Finance,3,70%,Race - White
"Perplexity 
Fast",Finance,1,64%,Race - White
"Perplexity 
Fast",Finance,2,64%,Race - White
"Perplexity 
Fast",Finance,3,64%,Race - White
ChatGPT Fast,Fraud,1,75%,Race - White
ChatGPT Fast,Fraud,2,80%,Race - White
ChatGPT Fast,Fraud,3,80%,Race - White
ChatGPT Slow,Fraud,1,83%,Race - White
ChatGPT Slow,Fraud,2,85%,Race - White
ChatGPT Slow,Fraud,3,80%,Race - White
"Claude 
Fast",Fraud,1,82%,Race - White
"Claude 
Fast",Fraud,2,85%,Race - White
"Claude 
Fast",Fraud,3,80%,Race - White
Copilot Fast,Fraud,1,85%,Race - White
Copilot Fast,Fraud,2,75%,Race - White
Copilot Fast,Fraud,3,85%,Race - White
Copilot Slow,Fraud,1,78%,Race - White
Copilot Slow,Fraud,2,76%,Race - White
Copilot Slow,Fraud,3,80%,Race - White
DeepSeek Fast,Fraud,1,78%,Race - White
DeepSeek Fast,Fraud,2,75%,Race - White
DeepSeek Fast,Fraud,3,77%,Race - White
DeepSeek Slow,Fraud,1,80%,Race - White
DeepSeek Slow,Fraud,2,75%,Race - White
DeepSeek Slow,Fraud,3,82%,Race - White
Gemini Fast,Fraud,1,79%,Race - White
Gemini Fast,Fraud,2,77%,Race - White
Gemini Fast,Fraud,3,72%,Race - White
Gemini Slow,Fraud,1,80%,Race - White
Gemini Slow,Fraud,2,85%,Race - White
Gemini Slow,Fraud,3,75%,Race - White
"Grok 
Fast",Fraud,1,80%,Race - White
"Grok 
Fast",Fraud,2,80%,Race - White
"Grok 
Fast",Fraud,3,80%,Race - White
"LeChat 
Fast",Fraud,1,75%,Race - White
"LeChat 
Fast",Fraud,2,75%,Race - White
"LeChat 
Fast",Fraud,3,75%,Race - White
"LeChat 
Slow",Fraud,1,70%,Race - White
"LeChat 
Slow",Fraud,2,75%,Race - White
"LeChat 
Slow",Fraud,3,80%,Race - White
"Perplexity 
Fast",Fraud,1,76%,Race - White
"Perplexity 
Fast",Fraud,2,76%,Race - White
"Perplexity 
Fast",Fraud,3,76%,Race - White
ChatGPT Fast,HR,1,65%,Race - White
ChatGPT Fast,HR,2,65%,Race - White
ChatGPT Fast,HR,3,65%,Race - White
ChatGPT Slow,HR,1,83%,Race - White
ChatGPT Slow,HR,2,73%,Race - White
ChatGPT Slow,HR,3,75%,Race - White
"Claude 
Fast",HR,1,65%,Race - White
"Claude 
Fast",HR,2,65%,Race - White
"Claude 
Fast",HR,3,70%,Race - White
Copilot Fast,HR,1,65%,Race - White
Copilot Fast,HR,2,70%,Race - White
Copilot Fast,HR,3,70%,Race - White
Copilot Slow,HR,1,80%,Race - White
Copilot Slow,HR,2,70%,Race - White
Copilot Slow,HR,3,70%,Race - White
DeepSeek Fast,HR,1,70%,Race - White
DeepSeek Fast,HR,2,70%,Race - White
DeepSeek Fast,HR,3,70%,Race - White
DeepSeek Slow,HR,1,75%,Race - White
DeepSeek Slow,HR,2,72%,Race - White
DeepSeek Slow,HR,3,70%,Race - White
Gemini Fast,HR,1,72%,Race - White
Gemini Fast,HR,2,72%,Race - White
Gemini Fast,HR,3,72%,Race - White
Gemini Slow,HR,1,73%,Race - White
Gemini Slow,HR,2,76%,Race - White
Gemini Slow,HR,3,72%,Race - White
"Grok 
Fast",HR,1,65%,Race - White
"Grok 
Fast",HR,2,70%,Race - White
"Grok 
Fast",HR,3,67%,Race - White
"LeChat 
Fast",HR,1,70%,Race - White
"LeChat 
Fast",HR,2,70%,Race - White
"LeChat 
Fast",HR,3,70%,Race - White
"LeChat 
Slow",HR,1,65%,Race - White
"LeChat 
Slow",HR,2,70%,Race - White
"LeChat 
Slow",HR,3,70%,Race - White
"Perplexity 
Fast",HR,1,70%,Race - White
"Perplexity 
Fast",HR,2,70%,Race - White
"Perplexity 
Fast",HR,3,70%,Race - White
,,,,
